lags,hidden layers,mae     ,mape ,mse        ,rmse
1   ,"(3, 1)"     ,421.914 ,2.256,230738.905 ,480.353
1   ,"(3, 2)"     ,434.079 ,2.32 ,238495.279 ,488.36
1   ,"(3, 3)"     ,374.452 ,2.003,194311.401 ,440.808
1   ,"(4, 1)"     ,792.827 ,4.226,726591.054 ,852.403
1   ,"(4, 2)"     ,412.975 ,2.208,220198.762 ,469.253
1   ,"(4, 3)"     ,308.555 ,1.654,144569.379 ,380.223
1   ,"(5, 1)"     ,432.045 ,2.309,239440.541 ,489.327
1   ,"(5, 2)"     ,411.805 ,2.202,217963.903 ,466.866
1   ,"(5, 3)"     ,430.3   ,2.3  ,238387.15  ,488.249
1   ,"(6, 1)"     ,757.344 ,4.043,658783.568 ,811.655
1   ,"(6, 2)"     ,387.678 ,2.075,229079.531 ,478.623
1   ,"(6, 3)"     ,324.873 ,1.739,145651.723 ,381.643
1   ,"(7, 1)"     ,402.705 ,2.153,210516.565 ,458.821
1   ,"(7, 2)"     ,1180.81 ,6.296,1528591.439,1236.362
1   ,"(7, 3)"     ,373.775 ,2.0  ,185084.351 ,430.214
2   ,"(3, 1)"     ,1076.87 ,5.742,1252253.941,1119.042
2   ,"(3, 2)"     ,327.392 ,1.755,156824.707 ,396.011
2   ,"(3, 3)"     ,513.846 ,2.746,325691.041 ,570.693
2   ,"(4, 1)"     ,396.098 ,2.112,244892.323 ,494.866
2   ,"(4, 2)"     ,814.927 ,4.35 ,770143.042 ,877.578
2   ,"(4, 3)"     ,824.35  ,4.396,779640.67  ,882.973
2   ,"(5, 1)"     ,375.205 ,2.007,194875.915 ,441.448
2   ,"(5, 2)"     ,445.554 ,2.382,263431.42  ,513.256
2   ,"(5, 3)"     ,391.502 ,2.094,201492.278 ,448.879
2   ,"(6, 1)"     ,325.145 ,1.742,141483.283 ,376.143
2   ,"(6, 2)"     ,339.702 ,1.817,171805.862 ,414.495
2   ,"(6, 3)"     ,351.58  ,1.882,162028.911 ,402.528
2   ,"(7, 1)"     ,1069.134,5.697,1318908.713,1148.438
2   ,"(7, 2)"     ,346.069 ,1.851,158112.99  ,397.634
2   ,"(7, 3)"     ,398.819 ,2.133,214169.991 ,462.785
3   ,"(3, 1)"     ,478.528 ,2.556,291936.402 ,540.311
3   ,"(3, 2)"     ,244.787 ,1.313,97737.016  ,312.629
3   ,"(3, 3)"     ,306.787 ,1.642,140999.411 ,375.499
3   ,"(4, 1)"     ,323.78  ,1.737,152731.486 ,390.809
3   ,"(4, 2)"     ,365.267 ,1.958,209791.148 ,458.03
3   ,"(4, 3)"     ,555.555 ,2.967,383339.549 ,619.144
3   ,"(5, 1)"     ,565.066 ,3.014,460156.603 ,678.348
3   ,"(5, 2)"     ,434.723 ,2.322,256300.894 ,506.262
3   ,"(5, 3)"     ,694.417 ,3.708,587668.511 ,766.595
3   ,"(6, 1)"     ,1395.212,7.442,2033285.356,1425.933
3   ,"(6, 2)"     ,982.606 ,5.242,1072075.816,1035.411
3   ,"(6, 3)"     ,483.447 ,2.583,298219.609 ,546.095
3   ,"(7, 1)"     ,468.027 ,2.501,280136.127 ,529.279
3   ,"(7, 2)"     ,441.917 ,2.362,269081.524 ,518.731
3   ,"(7, 3)"     ,345.524 ,1.848,162815.735 ,403.504
