order      ,mae       ,mape ,mse            ,rmse
"(0, 0, 0)",101243.073,100.0,10256592247.545,101274.835
"(1, 0, 0)",977.265   ,0.956,1803709.931    ,1343.023
"(1, 0, 1)",970.256   ,0.949,1789740.656    ,1337.812
"(1, 0, 2)",973.019   ,0.952,1791648.19     ,1338.525
"(1, 0, 3)",975.186   ,0.954,1802601.401    ,1342.61
"(1, 0, 4)",943.654   ,0.923,1761527.513    ,1327.225
"(1, 0, 5)",915.769   ,0.896,1706580.8      ,1306.362
"(1, 0, 6)",957.647   ,0.937,1773945.329    ,1331.895
"(1, 0, 7)",958.551   ,0.938,1790574.712    ,1338.124
"(1, 0, 8)",957.548   ,0.938,1772427.522    ,1331.325
"(1, 0, 9)",956.094   ,0.936,1780736.457    ,1334.442
"(7, 0, 0)",948.235   ,0.928,1769167.037    ,1330.1
"(7, 0, 1)",951.867   ,0.932,1811098.157    ,1345.77
"(7, 0, 2)",952.549   ,0.932,1816796.419    ,1347.886
