symbol,hybrid      ,arima       ,ann         ,lstmGbm     ,gbm
CTD   ,5775373.343 ,6395202.06  ,8856670.999 ,8826232.471 ,8501572.929
DHG   ,1242365.569 ,1289595.525 ,1252837.72  ,2530209.301 ,2294114.617
ROS   ,733318.903  ,648763.154  ,554885.742  ,755066.251  ,876145.883
FPT   ,268337.727  ,273203.309  ,339469.348  ,375835.527  ,423081.178
GMD   ,120381.933  ,84067.365   ,96633.679   ,102746.399  ,116311.954
CII   ,117309.387  ,129686.901  ,96654.304   ,145071.331  ,255827.061
HDB   ,194730.399  ,183045.988  ,177822.044  ,238822.544  ,286914.454
HPG   ,245354.388  ,239921.24   ,250737.808  ,394850.393  ,274939.299
MSN   ,1596437.003 ,1396678.993 ,1344503.481 ,1627801.612 ,2186513.437
MBB   ,76541.945   ,76606.497   ,79269.17    ,146612.168  ,111005.885
MWG   ,794128.615  ,783603.649  ,870104.595  ,1072823.52  ,1068528.345
NVL   ,349397.336  ,377682.012  ,318799.962  ,395918.845  ,487871.081
DPM   ,107706.871  ,83812.668   ,76176.687   ,102336.864  ,118023.224
PNJ   ,3040044.689 ,1735462.415 ,1968091.575 ,2062103.123 ,2189536.754
REE   ,189063.58   ,190880.458  ,192150.111  ,305990.117  ,262148.312
STB   ,23505.13    ,24099.325   ,23181.094   ,26522.828   ,31551.952
SAB   ,20282678.611,23376745.069,23635508.901,25657016.046,33956219.518
SSI   ,147761.276  ,131961.992  ,173573.876  ,149192.492  ,190445.245
TCB   ,148506.485  ,137448.124  ,103995.737  ,130355.64   ,197692.668
SBT   ,47575.186   ,37794.936   ,50015.324   ,48025.649   ,51230.042
VCB   ,582778.348  ,513100.576  ,474642.314  ,663757.614  ,875781.365
VJC   ,666787.039  ,544046.43   ,602824.278  ,1207084.294 ,1017208.861
EIB   ,85434.063   ,82648.57    ,83901.782   ,138252.663  ,124444.181
CTG   ,107749.221  ,108270.066  ,104242.704  ,154276.081  ,128483.762
VPB   ,37940.835   ,38218.355   ,31611.629   ,47097.359   ,56157.291
VNM   ,2398024.85  ,2438928.735 ,2386152.762 ,2660005.936 ,3385074.774
VRE   ,451260.39   ,355786.876  ,270767.207  ,448996.684  ,475707.048
VIC   ,1773839.044 ,1820504.913 ,1739586.494 ,2072045.481 ,2198640.857
VHM   ,850130.944  ,1052027.171 ,868347.472  ,1227431.527 ,1098558.712
GAS   ,2983216.686 ,2806959.522 ,3198112.239 ,3613801.994 ,4043010.999
