symbol,hybrid  ,arima   ,ann     ,lstmGbm ,gbm
CTD   ,2403.201,2528.874,2976.016,2970.898,2915.746
DHG   ,1114.615,1135.604,1119.302,1590.663,1514.633
ROS   ,856.34  ,805.458 ,744.907 ,868.945 ,936.027
FPT   ,518.013 ,522.689 ,582.64  ,613.054 ,650.447
GMD   ,346.961 ,289.944 ,310.86  ,320.541 ,341.045
CII   ,342.505 ,360.121 ,310.893 ,380.882 ,505.793
HDB   ,441.283 ,427.839 ,421.69  ,488.695 ,535.644
HPG   ,495.333 ,489.818 ,500.737 ,628.371 ,524.347
MSN   ,1263.502,1181.812,1159.527,1275.853,1478.686
MBB   ,276.662 ,276.779 ,281.548 ,382.9   ,333.175
MWG   ,891.139 ,885.214 ,932.794 ,1035.772,1033.696
NVL   ,591.098 ,614.558 ,564.624 ,629.221 ,698.478
DPM   ,328.187 ,289.504 ,276.001 ,319.901 ,343.545
PNJ   ,1743.572,1317.37 ,1402.887,1436.002,1479.708
REE   ,434.814 ,436.899 ,438.349 ,553.164 ,512.004
STB   ,153.314 ,155.24  ,152.253 ,162.858 ,177.629
SAB   ,4503.629,4834.95 ,4861.636,5065.276,5827.197
SSI   ,384.397 ,363.266 ,416.622 ,386.254 ,436.4
TCB   ,385.365 ,370.74  ,322.484 ,361.048 ,444.626
SBT   ,218.117 ,194.409 ,223.641 ,219.148 ,226.341
VCB   ,763.399 ,716.31  ,688.943 ,814.713 ,935.832
VJC   ,816.57  ,737.595 ,776.418 ,1098.674,1008.568
EIB   ,292.291 ,287.487 ,289.658 ,371.823 ,352.766
CTG   ,328.252 ,329.044 ,322.866 ,392.78  ,358.446
VPB   ,194.784 ,195.495 ,177.797 ,217.019 ,236.975
VNM   ,1548.556,1561.707,1544.718,1630.952,1839.857
VRE   ,671.759 ,596.479 ,520.353 ,670.072 ,689.715
VIC   ,1331.855,1349.261,1318.934,1439.46 ,1482.781
VHM   ,922.025 ,1025.684,931.852 ,1107.895,1048.122
GAS   ,1727.199,1675.398,1788.327,1901.0  ,2010.724
